candidate,county,party,percentage,popular_vote,state,summary_level
H. Clinton,Autauga County,DEMOCRAT,80.0%,"2,387",alabama,county
B. Sanders,Autauga County,DEMOCRAT,18.2%,544,alabama,county
Uncommitted,Autauga County,DEMOCRAT,1.4%,42,alabama,county
R. De La Fuente,Autauga County,DEMOCRAT,0.2%,6,alabama,county
M. O'Malley,Autauga County,DEMOCRAT,0.1%,3,alabama,county
D. Trump,Autauga County,REPUBLICAN,44.5%,"5,387",alabama,county
T. Cruz,Autauga County,REPUBLICAN,20.5%,"2,482",alabama,county
M. Rubio,Autauga County,REPUBLICAN,14.8%,"1,785",alabama,county
B. Carson,Autauga County,REPUBLICAN,14.6%,"1,764",alabama,county
J. Kasich,Autauga County,REPUBLICAN,3.5%,421,alabama,county
Uncommitted,Autauga County,REPUBLICAN,1.0%,122,alabama,county
J. Bush,Autauga County,REPUBLICAN,0.5%,57,alabama,county
M. Huckabee,Autauga County,REPUBLICAN,0.3%,32,alabama,county
R. Paul,Autauga County,REPUBLICAN,0.2%,25,alabama,county
C. Christie,Autauga County,REPUBLICAN,0.1%,8,alabama,county
C. Fiorina,Autauga County,REPUBLICAN,0.1%,8,alabama,county
R. Santorum,Autauga County,REPUBLICAN,0.0%,5,alabama,county
L. Graham,Autauga County,REPUBLICAN,0.0%,3,alabama,county
H. Clinton,Baldwin County,DEMOCRAT,64.7%,"5,290",alabama,county
B. Sanders,Baldwin County,DEMOCRAT,32.9%,"2,694",alabama,county
Uncommitted,Baldwin County,DEMOCRAT,1.8%,149,alabama,county
M. O'Malley,Baldwin County,DEMOCRAT,0.4%,30,alabama,county
R. De La Fuente,Baldwin County,DEMOCRAT,0.2%,15,alabama,county
D. Trump,Baldwin County,REPUBLICAN,46.9%,"23,618",alabama,county
M. Rubio,Baldwin County,REPUBLICAN,19.3%,"9,703",alabama,county
T. Cruz,Baldwin County,REPUBLICAN,17.0%,"8,571",alabama,county
B. Carson,Baldwin County,REPUBLICAN,8.4%,"4,221",alabama,county
J. Kasich,Baldwin County,REPUBLICAN,5.9%,"2,987",alabama,county
Uncommitted,Baldwin County,REPUBLICAN,1.4%,699,alabama,county
J. Bush,Baldwin County,REPUBLICAN,0.5%,229,alabama,county
R. Paul,Baldwin County,REPUBLICAN,0.2%,116,alabama,county
M. Huckabee,Baldwin County,REPUBLICAN,0.2%,105,alabama,county
C. Christie,Baldwin County,REPUBLICAN,0.1%,49,alabama,county
R. Santorum,Baldwin County,REPUBLICAN,0.1%,39,alabama,county
C. Fiorina,Baldwin County,REPUBLICAN,0.1%,27,alabama,county
L. Graham,Baldwin County,REPUBLICAN,0.0%,16,alabama,county
H. Clinton,Barbour County,DEMOCRAT,90.6%,"2,567",alabama,county
B. Sanders,Barbour County,DEMOCRAT,7.8%,222,alabama,county
Uncommitted,Barbour County,DEMOCRAT,1.2%,33,alabama,county
M. O'Malley,Barbour County,DEMOCRAT,0.3%,8,alabama,county
R. De La Fuente,Barbour County,DEMOCRAT,0.1%,3,alabama,county
D. Trump,Barbour County,REPUBLICAN,50.1%,"1,710",alabama,county
T. Cruz,Barbour County,REPUBLICAN,17.9%,609,alabama,county
M. Rubio,Barbour County,REPUBLICAN,14.6%,498,alabama,county
B. Carson,Barbour County,REPUBLICAN,12.2%,417,alabama,county
J. Kasich,Barbour County,REPUBLICAN,3.6%,123,alabama,county
Uncommitted,Barbour County,REPUBLICAN,0.6%,21,alabama,county
J. Bush,Barbour County,REPUBLICAN,0.3%,10,alabama,county
M. Huckabee,Barbour County,REPUBLICAN,0.3%,9,alabama,county
C. Christie,Barbour County,REPUBLICAN,0.2%,6,alabama,county
L. Graham,Barbour County,REPUBLICAN,0.1%,4,alabama,county
R. Paul,Barbour County,REPUBLICAN,0.1%,3,alabama,county
C. Fiorina,Barbour County,REPUBLICAN,0.0%,1,alabama,county
R. Santorum,Barbour County,REPUBLICAN,0.0%,0,alabama,county
H. Clinton,Bibb County,DEMOCRAT,75.5%,942,alabama,county
B. Sanders,Bibb County,DEMOCRAT,19.7%,246,alabama,county
Uncommitted,Bibb County,DEMOCRAT,3.7%,46,alabama,county
M. O'Malley,Bibb County,DEMOCRAT,0.8%,10,alabama,county
R. De La Fuente,Bibb County,DEMOCRAT,0.3%,4,alabama,county
D. Trump,Bibb County,REPUBLICAN,49.4%,"1,959",alabama,county
T. Cruz,Bibb County,REPUBLICAN,25.5%,"1,011",alabama,county
M. Rubio,Bibb County,REPUBLICAN,11.2%,444,alabama,county
B. Carson,Bibb County,REPUBLICAN,9.9%,393,alabama,county
J. Kasich,Bibb County,REPUBLICAN,2.1%,84,alabama,county
Uncommitted,Bibb County,REPUBLICAN,0.8%,30,alabama,county
J. Bush,Bibb County,REPUBLICAN,0.4%,17,alabama,county
M. Huckabee,Bibb County,REPUBLICAN,0.4%,15,alabama,county
R. Paul,Bibb County,REPUBLICAN,0.2%,6,alabama,county
C. Christie,Bibb County,REPUBLICAN,0.1%,3,alabama,county
C. Fiorina,Bibb County,REPUBLICAN,0.1%,3,alabama,county
L. Graham,Bibb County,REPUBLICAN,0.0%,1,alabama,county
R. Santorum,Bibb County,REPUBLICAN,0.0%,1,alabama,county
H. Clinton,Blount County,DEMOCRAT,55.1%,564,alabama,county
B. Sanders,Blount County,DEMOCRAT,38.6%,395,alabama,county
Uncommitted,Blount County,DEMOCRAT,5.5%,56,alabama,county
M. O'Malley,Blount County,DEMOCRAT,0.5%,5,alabama,county
R. De La Fuente,Blount County,DEMOCRAT,0.3%,3,alabama,county
D. Trump,Blount County,REPUBLICAN,48.7%,"7,390",alabama,county
T. Cruz,Blount County,REPUBLICAN,24.4%,"3,698",alabama,county
M. Rubio,Blount County,REPUBLICAN,12.2%,"1,843",alabama,county
B. Carson,Blount County,REPUBLICAN,10.0%,"1,523",alabama,county
J. Kasich,Blount County,REPUBLICAN,2.2%,337,alabama,county
Uncommitted,Blount County,REPUBLICAN,1.1%,170,alabama,county
M. Huckabee,Blount County,REPUBLICAN,0.5%,78,alabama,county
J. Bush,Blount County,REPUBLICAN,0.4%,56,alabama,county
R. Paul,Blount County,REPUBLICAN,0.2%,25,alabama,county
R. Santorum,Blount County,REPUBLICAN,0.1%,13,alabama,county
C. Christie,Blount County,REPUBLICAN,0.1%,12,alabama,county
C. Fiorina,Blount County,REPUBLICAN,0.1%,10,alabama,county
L. Graham,Blount County,REPUBLICAN,0.0%,4,alabama,county
H. Clinton,Bullock County,DEMOCRAT,91.3%,"2,451",alabama,county
B. Sanders,Bullock County,DEMOCRAT,6.6%,178,alabama,county
Uncommitted,Bullock County,DEMOCRAT,1.5%,39,alabama,county
